method,split,extreme_events,pos_extreme_events,neg_extreme_events,directional_accuracy,avg_future_return_4h,avg_future_return_4h_pos_extreme,avg_future_return_4h_neg_extreme,best_regime,best_regime_accuracy,best_oi_regime,best_oi_regime_accuracy
quantile,test,2600,368,2232,0.5003846153846154,0.0005068841355347164,-0.0008669699796212879,0.0007333977172450252,bear_high_vol,0.531328320802005,oi_stable,0.5003846153846154
quantile,train,7584,3792,3792,0.5015822784810127,0.0003584418103853578,-0.0005756604168981801,0.0012925440376688956,bull_high_vol,0.5080291970802919,oi_stable,0.5015822784810127
rolling_zscore,test,2266,1004,1262,0.5057369814651368,0.00045258067062774746,-4.591482659384052e-05,0.0008491650440116415,bear_high_vol,0.6046511627906976,oi_stable,0.5057369814651368
rolling_zscore,train,3731,1674,2057,0.5054945054945055,0.00017032499163578314,-0.0001738399895564423,0.000450408695338158,bull_low_vol,0.5195266272189349,oi_stable,0.5054945054945055
zscore,test,64,64,0,0.5,-0.004591382558742603,-0.004591382558742603,,bull_low_vol,1.0,oi_stable,0.5
zscore,train,1712,1536,176,0.5,0.00012475572392090843,-0.0003480136434931583,0.004250742930443674,bear_low_vol,0.5655737704918032,oi_stable,0.5
