time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,symbol,funding_rate,mark_price,return_1h,future_return_1h,future_return_4h,future_return_8h,funding_rate_diff,funding_rate_ma3
2025-01-01 00:00:00+00:00,93548.8,94449.2,93460.2,94363.6,5744.609,2025-01-01 00:59:59.999000+00:00,539615914.4646,105263,3278.334,308056781.5427,0,BTCUSDT,0.0001,93549.66175177,,-0.008219270990085237,-0.008674955173393228,-0.010230639780593465,,
2025-01-01 01:00:00+00:00,94363.6,94363.7,93545.0,93588.0,3991.464,2025-01-01 01:59:59.999000+00:00,374890760.6815,83154,1523.59,143102585.0957,0,BTCUSDT,0.0001,93549.66175177,-0.008219270990085237,0.0050903962046415785,0.0018378424584348796,-0.0022000683848355518,0.0,
2025-01-01 02:00:00+00:00,93587.9,94082.4,93561.8,94064.4,2297.236,2025-01-01 02:59:59.999000+00:00,215473738.8192,60996,1300.814,122017960.6447,0,BTCUSDT,0.0001,93549.66175177,0.0050903962046415785,-0.0027045300878971723,-0.0035103609867281893,-0.008044488669464722,0.0,0.0001
2025-01-01 03:00:00+00:00,94064.4,94070.2,93692.6,93810.0,1928.71,2025-01-01 03:59:59.999000+00:00,181033356.9306,44672,868.352,81494765.0766,0,BTCUSDT,0.0001,93549.66175177,-0.0027045300878971723,-0.0028248587570621764,-0.0015915147638845273,-0.004156273318409509,0.0,0.0001
2025-01-01 04:00:00+00:00,93810.0,93810.1,93502.0,93545.0,2241.616,2025-01-01 04:59:59.999000+00:00,209948892.4697,46972,893.305,83664963.8536,0,BTCUSDT,0.0001,93549.66175177,-0.0028248587570621764,0.002298359078518386,-0.0015692981987278642,0.002600887273504826,0.0,0.0001
2025-01-01 05:00:00+00:00,93544.9,93914.7,93520.3,93760.0,2482.025,2025-01-01 05:59:59.999000+00:00,232669185.2913,43059,1501.761,140784316.3484,0,BTCUSDT,0.0001,93549.66175177,0.002298359078518386,-0.0002751706484641625,-0.0040305034129691775,0.002508532423208143,0.0,0.0001
2025-01-01 06:00:00+00:00,93760.0,93760.0,93533.3,93734.2,1970.927,2025-01-01 06:59:59.999000+00:00,184556536.1959,38487,1024.494,95935931.5495,0,BTCUSDT,0.0001,93549.66175177,-0.0002751706484641625,-0.0007841321524054701,-0.004550100176883176,0.004406075903992335,0.0,0.0001
2025-01-01 07:00:00+00:00,93734.2,93785.4,93627.7,93660.7,1157.915,2025-01-01 07:59:59.999000+00:00,108499617.9432,28635,522.894,48997752.6578,0,BTCUSDT,0.0001,93549.66175177,-0.0007841321524054701,-0.002802669636250865,-0.0025688469123120727,0.00799908606277766,0.0,0.0001
2025-01-01 08:00:00+00:00,93660.7,93735.2,93258.8,93398.2,3525.325,2025-01-01 08:59:59.999000+00:00,329481802.5496,64165,1403.589,131192525.441,0,BTCUSDT,0.0001,93549.66175177,-0.002802669636250865,-0.00017238019576382158,0.004176740022826975,0.0071939287909190686,0.0,0.0001
2025-01-01 09:00:00+00:00,93398.2,93462.9,92796.5,93382.1,8669.812,2025-01-01 09:59:59.999000+00:00,807428891.859,141598,3928.791,365976490.2701,0,BTCUSDT,0.0001,93549.66175177,-0.00017238019576382158,-0.0007967265675113966,0.006565498098672018,0.007941564818096714,0.0,0.0001
2025-01-01 10:00:00+00:00,93382.1,93510.0,93250.1,93307.7,2989.11,2025-01-01 10:59:59.999000+00:00,279187393.3903,58506,1348.62,125972460.9851,0,BTCUSDT,0.0001,93549.66175177,-0.0007967265675113966,0.001204616553617921,0.008997113850196747,0.010866198609546851,0.0,0.0001
2025-01-01 11:00:00+00:00,93307.8,93692.3,93160.0,93420.1,3820.741,2025-01-01 11:59:59.999000+00:00,357026122.8581,71857,1974.735,184550455.3379,0,BTCUSDT,0.0001,93549.66175177,0.001204616553617921,0.003941335965172321,0.010595150294208544,0.012759566731356475,0.0,0.0001
2025-01-01 12:00:00+00:00,93420.1,93967.9,93375.0,93788.3,4760.931,2025-01-01 12:59:59.999000+00:00,446223971.7664,81643,2587.981,242564020.537,0,BTCUSDT,0.0001,93549.66175177,0.003941335965172321,0.0022060320956878154,0.0030046391714104725,0.01043840223140835,0.0,0.0001
2025-01-01 13:00:00+00:00,93788.4,94035.4,93570.0,93995.2,3460.306,2025-01-01 13:59:59.999000+00:00,324528486.817,75938,1739.339,163172547.5946,0,BTCUSDT,0.0001,93549.66175177,0.0022060320956878154,0.0016171038521115566,0.0013670910855021479,0.010289887143173138,0.0,0.0001
2025-01-01 14:00:00+00:00,93995.3,94430.0,93622.7,94147.2,9401.935,2025-01-01 14:59:59.999000+00:00,884544309.5481,164728,4734.803,445555671.597,0,BTCUSDT,0.0001,93549.66175177,0.0016171038521115566,0.002790311342238505,0.0018524183406412043,0.006621545834607945,0.0,0.0001
2025-01-01 15:00:00+00:00,94147.2,94489.5,93854.4,94409.9,4503.897,2025-01-01 15:59:59.999000+00:00,424177001.8647,95466,2479.455,233596227.0253,0,BTCUSDT,0.0001,93549.66175177,0.002790311342238505,-0.003599198812836213,0.002141724543718526,0.0018112507268834843,0.0,0.0001
2025-01-01 16:00:00+00:00,94409.9,94475.0,93900.0,94070.1,4168.835,2025-01-01 16:59:59.999000+00:00,392545347.8165,95832,1819.792,171361243.9819,0,BTCUSDT,0.0001,94413.6,-0.003599198812836213,0.0005697878496992992,0.007411494194223156,0.011077908921113044,0.0,0.0001
